project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
P111117	7647391	3	Bunkpurugu-Yunyoo	10.4846	-0.11207	ADM2	GH|06|7647391	Ghana|Northern|Bunkpurugu-Yunyoo
P111117	7648969	3	Cape Coast	5.10535	-1.2466	ADM2	GH|04|7648969	Ghana|Central|Cape Coast
P111117	7648970	3	Central Gonja	8.9242	-1.32349	ADM2	GH|06|7648970	Ghana|Northern|Central Gonja
P111117	7647639	3	Chereponi	10.13417	0.28806	ADM2	GH|06|7647639	Ghana|Northern|Chereponi
P111117	7647529	3	Dangme East District	5.851	0.493	ADM2	GH|05|7647529	Ghana|Eastern|Dangme East District
P111117	7648971	3	Dangme West District	5.895	0.155	ADM2	GH|05|7648971	Ghana|Eastern|Dangme West District
P111117	7648972	3	Dormaa	7.28333	-2.88333	ADM2	GH|03|7648972	Ghana|Brong-Ahafo|Dormaa
P111117	7647456	3	East Gonja	8.57151	-0.6773	ADM2	GH|06|7647456	Ghana|Northern|East Gonja
P111117	7648974	3	East Akim	6.25	-0.561	ADM2	GH|05|7648974	Ghana|Eastern|East Akim
P111117	7648975	3	East Mamprusi	10.53056	-0.44222	ADM2	GH|06|7648975	Ghana|Northern|East Mamprusi
P111117	7648976	3	Effutu	5.35113	-0.62313	ADM2	GH|04|7648976	Ghana|Central|Effutu
P111117	7648977	3	Ejisu Juaben	6.68	-1.379	ADM2	GH|02|7648977	Ghana|Ashanti|Ejisu Juaben
P111117	7648978	3	Ejura Sekyedumase	7.375	-1.432	ADM2	GH|02|7648978	Ghana|Ashanti|Ejura Sekyedumase
P111117	7647527	3	Ellembelle	4.96389	-2.32222	ADM2	GH|09|7647527	Ghana|Western|Ellembelle
P111117	7648979	3	Fanteakwa	6.38333	-0.38333	ADM2	GH|05|7648979	Ghana|Eastern|Fanteakwa
P111117	7648980	3	Ga East	5.73333	-0.2	ADM2	GH|01|7648980	Ghana|Greater Accra|Ga East
P111117	7648981	3	Ga West	5.65587	-0.38971	ADM2	GH|01|7648981	Ghana|Greater Accra|Ga West
P111117	7647384	3	Garu-Tempane	10.85	-0.18333	ADM2	GH|10|7647384	Ghana|Upper East|Garu-Tempane
P111117	7648982	3	Gomoa East	5.51667	-0.75	ADM2	GH|04|7648982	Ghana|Central|Gomoa East
P111117	7648983	3	Gomoa West	5.28333	-0.73333	ADM2	GH|04|7648983	Ghana|Central|Gomoa West
P111117	7647396	3	Gushiegu	9.97027	-0.18772	ADM2	GH|06|7647396	Ghana|Northern|Gushiegu
P111117	7648984	3	Ho	6.6	0.46667	ADM2	GH|08|7648984	Ghana|Volta|Ho
P111117	7648985	3	Hohoe	7.15	0.46667	ADM2	GH|08|7648985	Ghana|Volta|Hohoe
P111117	7648986	3	Jaman North	7.95	-2.7	ADM2	GH|03|7648986	Ghana|Brong-Ahafo|Jaman North
P111117	7648987	3	Jaman South	7.58365	-2.78684	ADM2	GH|03|7648987	Ghana|Brong-Ahafo|Jaman South
P111117	7648988	3	Jasikan	7.4	0.46667	ADM2	GH|08|7648988	Ghana|Volta|Jasikan
